Instance,MainTasks,sublists_to_modify,consecutive_to_remove,threshold,TotalProfit,WaitingTime,TotalTasks,Iterations,RunTime,TimeLimit
7_8_1,True,8,9,3,2115,28093.0,893,17,389.1897,360
7_8_1,True,8,9,6,2114,28264.0,896,19,452.8501,360
7_8_1,True,8,9,9,2114,28264.0,896,17,448.4631,360
7_5_1,False,2,3,3,2036,4145.0,791,283,382.9027,360
7_5_1,False,2,3,6,2038,5463.0,788,289,382.317,360
7_5_1,False,2,3,9,2040,5153.0,790,271,381.8538,360
7_5_1,False,2,6,3,2038,6028.0,789,166,381.9573,360
7_5_1,False,2,6,6,2038,4697.0,792,184,383.9186,360
7_5_1,False,2,6,9,2035,6818.0,787,159,382.9935,360
7_5_1,False,2,9,3,2033,4779.0,789,137,382.9718,360
7_5_1,False,2,9,6,2029,4428.0,783,137,384.0577,360
7_5_1,False,2,9,9,2030,6368.0,783,122,382.1816,360
7_5_1,False,5,3,3,2024,4749.0,789,93,385.0458,360
7_5_1,False,5,3,6,2024,6445.0,786,96,392.6957,360
7_5_1,False,5,3,9,2023,7417.0,785,94,382.4641,360
7_5_1,False,5,6,3,2018,6838.0,777,51,388.7131,360
7_5_1,False,5,6,6,2019,6963.0,781,56,387.4679,360
7_5_1,False,5,6,9,2023,6796.0,784,56,386.0537,360
7_5_1,False,5,9,3,2021,6375.0,783,41,387.1607,360
7_5_1,False,5,9,6,2014,6318.0,782,42,387.3207,360
7_5_1,False,5,9,9,2018,6471.0,780,41,401.4543,360
7_5_1,False,8,3,3,2024,6619.0,786,51,418.961,360
7_5_1,False,8,3,6,2020,5501.0,785,50,386.7686,360
7_5_1,False,8,3,9,2020,6035.0,784,45,387.134,360
7_5_1,False,8,6,3,2021,7514.0,782,19,387.6968,360
7_5_1,False,8,6,6,2021,7514.0,782,18,425.6905,360
7_5_1,False,8,6,9,2021,7514.0,782,18,426.5955,360
7_5_1,False,8,9,3,2015,6560.0,778,21,389.7556,360
7_5_1,False,8,9,6,2016,6852.0,779,19,396.4546,360
7_5_1,False,8,9,9,2008,8407.0,776,17,382.9743,360
7_2_1,True,1,2,2,781,3015.0,278,948,363.4784,360
7_2_1,True,1,2,3,780,3863.0,276,791,363.8403,360
7_2_1,True,1,2,4,778,3493.0,277,688,363.4539,360
7_2_1,True,1,2,5,779,3437.0,277,822,363.6023,360
7_2_1,True,1,3,2,782,3816.0,277,745,363.8818,360
7_2_1,True,1,3,4,779,3057.0,278,646,363.5126,360
7_2_1,True,1,3,5,776,4494.0,276,564,363.4873,360
7_2_1,True,1,4,2,781,4096.0,277,639,363.931,360
7_2_1,True,1,4,3,783,3971.0,277,520,364.0449,360
7_2_1,True,1,4,4,784,3751.0,279,566,363.4967,360
7_2_1,True,1,4,5,775,4985.0,275,465,363.7454,360
7_2_1,True,2,2,2,780,4459.0,276,503,363.4794,360
7_2_1,True,2,2,4,780,3879.0,277,434,363.8578,360
7_2_1,True,2,2,5,778,4217.0,276,479,363.5894,360
7_2_1,True,2,4,2,777,4437.0,276,277,363.7261,360
7_2_1,True,2,4,4,773,5270.0,275,276,364.127,360
7_2_1,True,2,4,5,774,4911.0,274,287,363.5322,360
7_2_1,True,3,2,2,778,5055.0,276,327,363.689,360
7_2_1,True,3,2,3,783,3725.0,278,329,363.5006,360
7_2_1,True,3,2,4,783,3939.0,278,350,363.5458,360
7_2_1,True,3,2,5,774,4858.0,275,292,364.043,360
7_2_1,True,3,3,2,776,4574.0,275,283,363.5142,360
7_2_1,True,3,3,4,777,4531.0,276,247,364.2307,360
7_2_1,True,3,3,5,778,4956.0,276,231,364.2331,360
7_2_1,True,3,4,2,778,4939.0,276,196,363.9344,360
7_2_1,True,3,4,3,779,3823.0,277,222,364.0178,360
7_2_1,True,3,4,4,778,3804.0,277,222,363.5173,360
7_2_1,True,3,4,5,774,4826.0,276,214,363.9951,360
7_5_1,True,1,2,2,1664,10559.0,639,510,373.8112,360
7_5_1,True,1,2,3,1659,11345.0,638,500,373.5824,360
7_5_1,True,1,2,4,1660,10953.0,638,529,373.8778,360
7_5_1,True,1,2,5,1661,10431.0,640,477,373.7156,360
7_5_1,True,1,3,2,1655,11173.0,638,472,373.8513,360
7_5_1,True,1,3,4,1656,10087.0,635,430,373.8787,360
7_5_1,True,1,3,5,1659,10476.0,638,405,374.1413,360
7_5_1,True,1,4,2,1653,11859.0,633,361,374.0551,360
7_5_1,True,1,4,3,1656,10055.0,637,378,374.6647,360
7_5_1,True,1,4,4,1650,12081.0,633,376,373.8547,360
7_5_1,True,1,4,5,1651,11397.0,634,360,374.143,360
7_5_1,True,2,2,2,1659,10718.0,639,345,373.7382,360
7_5_1,True,2,2,4,1657,10786.0,638,336,374.1362,360
7_5_1,True,2,2,5,1653,12061.0,637,314,373.9157,360
7_5_1,True,2,4,2,1656,11571.0,636,236,373.452,360
7_5_1,True,2,4,4,1650,11717.0,634,207,373.5448,360
7_5_1,True,2,4,5,1649,12619.0,636,186,373.6607,360
7_5_1,True,3,2,2,1658,10967.0,636,249,374.1625,360
7_5_1,True,3,2,3,1649,13801.0,635,236,373.914,360
7_5_1,True,3,2,4,1653,10512.0,638,259,375.9086,360
7_5_1,True,3,2,5,1651,11971.0,633,197,373.6852,360
7_5_1,True,3,3,2,1659,10142.0,639,202,376.4893,360
7_5_1,True,3,3,4,1650,12111.0,633,191,374.3703,360
7_5_1,True,3,3,5,1650,12334.0,635,157,373.2807,360
7_5_1,True,3,4,2,1644,12899.0,629,148,374.0165,360
7_5_1,True,3,4,3,1647,11650.0,637,134,374.3786,360
7_5_1,True,3,4,4,1645,12088.0,632,130,373.4342,360
7_5_1,True,3,4,5,1641,12202.0,629,150,374.3846,360
7_8_1,True,1,2,2,2159,17638.0,932,529,380.1802,360
7_8_1,True,1,2,3,2156,19907.0,931,521,380.086,360
7_8_1,True,1,2,4,2155,19624.0,928,549,380.1867,360
7_8_1,True,1,2,5,2156,18088.0,928,618,380.0486,360
7_8_1,True,1,3,2,2156,19315.0,928,505,380.1884,360
7_8_1,True,1,3,4,2156,19394.0,926,510,379.98,360
7_8_1,True,1,3,5,2155,20149.0,924,506,380.1934,360
7_8_1,True,1,4,2,2158,17943.0,924,447,380.7002,360
7_8_1,True,1,4,3,2157,17962.0,924,406,380.3352,360
7_8_1,True,1,4,4,2153,20958.0,921,368,380.0881,360
7_8_1,True,1,4,5,2151,21987.0,918,358,382.2967,360
7_8_1,True,2,2,2,2148,22483.0,923,366,380.8871,360
7_8_1,True,2,2,4,2153,20990.0,926,373,382.3983,360
7_8_1,True,2,2,5,2153,21315.0,926,346,381.4275,360
7_8_1,True,2,4,2,2155,19375.0,925,290,380.2073,360
7_8_1,True,2,4,4,2153,18822.0,923,247,383.2363,360
7_8_1,True,2,4,5,2154,17467.0,925,238,380.3795,360
7_8_1,True,3,2,2,2150,22647.0,921,238,381.2846,360
7_8_1,True,3,2,3,2150,20878.0,921,202,385.3196,360
7_8_1,True,3,2,4,2153,20116.0,923,221,383.8392,360
7_8_1,True,3,2,5,2146,24322.0,916,179,383.2126,360
7_8_1,True,3,3,2,2154,19275.0,924,237,383.8536,360
7_8_1,True,3,3,4,2151,20927.0,921,184,385.0308,360
7_8_1,True,3,3,5,2150,20160.0,925,206,384.2798,360
7_8_1,True,3,4,2,2146,21452.0,919,147,384.2587,360
7_8_1,True,3,4,3,2142,23235.0,916,118,386.1116,360
7_8_1,True,3,4,4,2151,19855.0,924,163,384.3283,360
7_8_1,True,3,4,5,2143,21839.0,919,125,384.433,360
7_5_1,False,1,2,2,2037,5215.0,788,571,382.8978,360
7_5_1,False,1,2,3,2038,3947.0,790,667,382.4153,360
7_5_1,False,1,2,4,2041,3730.0,793,652,379.6877,360
7_5_1,False,1,2,5,2038,4856.0,791,630,379.6108,360
7_5_1,False,1,3,2,2039,4669.0,788,504,380.5857,360
7_5_1,False,1,3,4,2038,4730.0,789,557,380.8217,360
7_5_1,False,1,3,5,2041,3990.0,789,517,379.9893,360
7_5_1,False,1,4,2,2035,4714.0,788,454,380.533,360
7_5_1,False,1,4,3,2037,5889.0,788,434,380.0958,360
7_5_1,False,1,4,4,2038,5351.0,789,434,379.631,360
7_5_1,False,1,4,5,2038,5253.0,788,434,381.3944,360
7_5_1,False,2,2,2,2038,3901.0,793,386,381.7778,360
7_5_1,False,2,2,4,2036,3341.0,791,375,381.6106,360
7_5_1,False,2,2,5,2038,4081.0,791,392,381.8387,360
7_5_1,False,2,4,2,2035,4648.0,786,245,382.1305,360
7_5_1,False,2,4,4,2040,5475.0,791,252,383.4831,360
7_5_1,False,2,4,5,2038,4932.0,788,235,381.206,360
7_5_1,False,3,2,2,2039,5272.0,793,262,379.8022,360
7_5_1,False,3,2,3,2039,6186.0,793,257,381.6837,360
7_5_1,False,3,2,4,2036,4490.0,790,248,382.0531,360
7_5_1,False,3,2,5,2037,6649.0,790,244,383.4265,360
7_5_1,False,3,3,2,2042,5415.0,794,182,381.9503,360
7_5_1,False,3,3,4,2035,4262.0,788,186,382.7212,360
7_5_1,False,3,3,5,2040,5480.0,790,175,384.9017,360
7_5_1,False,3,4,2,2037,5729.0,791,147,385.6606,360
7_5_1,False,3,4,3,2029,7199.0,784,128,383.0519,360
7_5_1,False,3,4,4,2038,6157.0,788,137,384.7494,360
7_5_1,False,3,4,5,2035,6220.0,786,136,384.3532,360
